https://www.CryptoDataDownload.com,,,,,,,,,
Unix,datetime,Symbol,Open,High,Low,price,Volume ETH,Volume USDT,tradecount
1747353600000,2025-05-16,ETHUSDT,2548.7,2649.31,2529.4,2537.12,605953.6919,1568128704.04635,3310498
1747267200000,2025-05-15,ETHUSDT,2609.75,2647.03,2476.03,2548.69,768954.0332,1963827790.2366,4305508
1747180800000,2025-05-14,ETHUSDT,2679.71,2725.99,2547.26,2609.74,830047.1122,2183890526.34023,4181188
1747094400000,2025-05-13,ETHUSDT,2495.48,2738.5,2415.3,2679.71,1031355.6465,2653880363.30538,4666012
1747008000000,2025-05-12,ETHUSDT,2514.58,2624,2406.63,2495.47,1068680.9433,2694150708.64276,5441783
1746921600000,2025-05-11,ETHUSDT,2583.22,2608.13,2435.51,2514.57,831584.3888,2087255708.68951,4340859
1746835200000,2025-05-10,ETHUSDT,2345.04,2600,2317,2583.23,979350.1606,2393510879.66521,4862978
1746748800000,2025-05-09,ETHUSDT,2207.39,2490.77,2184.33,2345.04,1667041.0382,3881949928.35172,6885286
1746662400000,2025-05-08,ETHUSDT,1811.11,2226,1808.71,2207.39,1473152.686,2976074419.32354,5616063
1746576000000,2025-05-07,ETHUSDT,1817,1850,1787.01,1811.11,456170.0705,831394497.734043,2408512
1746489600000,2025-05-06,ETHUSDT,1820.19,1820.9,1752,1817,384584.2451,687049952.313885,2333041
1746403200000,2025-05-05,ETHUSDT,1808.86,1833.55,1781.85,1820.19,342341.0078,619310042.705,1961255
1746316800000,2025-05-04,ETHUSDT,1833.52,1849.95,1803,1808.86,238254.3564,435999576.565349,1443996
1746230400000,2025-05-03,ETHUSDT,1842.2,1848.6,1810,1833.52,213751.5979,391267436.332057,1135719
1746144000000,2025-05-02,ETHUSDT,1838.1,1871,1813,1842.2,410667.875,755324594.318921,2062923
1746057600000,2025-05-01,ETHUSDT,1793.62,1873.17,1792.52,1838.11,537198.7291,988206595.824892,2398765
1745971200000,2025-04-30,ETHUSDT,1797.81,1816.8,1731.7,1793.61,473523.9877,843558998.326332,2468998
1745884800000,2025-04-29,ETHUSDT,1799.88,1842.99,1780.47,1797.81,480456.3884,871685371.749142,2590967
1745798400000,2025-04-28,ETHUSDT,1791.29,1827.98,1744.71,1799.88,587269.743,1049690759.15237,2980656
1745712000000,2025-04-27,ETHUSDT,1820.87,1857.47,1781.9,1791.29,340332.6435,616122293.308254,2405764
